PARTICIPANT BLOCK TRIAL EXTRACT TYPE RESPONSE
c10 main 36 HTH phase-click-late15 misaligned
c10 main 37 HTH phase-click-early10 misaligned
c10 main 38 HSG aligned aligned
c10 main 39 SMA aligned aligned
c10 main 40 KPS phase-click-late15 misaligned
c11 train 1 NYN phase-click-late15 aligned
c11 train 2 OCJ aligned aligned
c11 train 3 NYN aligned aligned
c11 train 4 OCJ phase-click-early15 misaligned
c11 main 1 ACL aligned aligned
c11 main 2 KPS aligned aligned
c11 main 3 SMA aligned misaligned
c11 main 4 HSG aligned aligned
c11 main 5 HSG phase-click-late15 misaligned
c11 main 6 KPS phase-click-early10 misaligned
c11 main 7 KPS aligned aligned
c11 main 8 ACL phase-click-late15 misaligned
c11 main 9 HTH aligned aligned
c11 main 10 ACL phase-click-early15 misaligned
c11 main 11 SMA phase-click-late10 misaligned
c11 main 12 HTH phase-click-early15 misaligned
c11 main 13 ACL aligned aligned
c11 main 14 HTH aligned aligned
c11 main 15 ACL phase-click-late10 misaligned
c11 main 16 HSG aligned aligned
c11 main 17 SMA phase-click-early15 aligned
c11 main 18 KPS phase-click-late15 misaligned
c11 main 19 SMA aligned misaligned
c11 main 20 HTH phase-click-late15 misaligned
c11 main 21 KPS aligned aligned
c11 main 22 HSG phase-click-early15 misaligned
c11 main 23 SMA phase-click-late15 misaligned
c11 main 24 HTH aligned aligned
c11 main 25 ACL aligned aligned
c11 main 26 KPS phase-click-late10 misaligned
c11 main 27 HSG aligned aligned
c11 main 28 KPS phase-click-early15 misaligned
c11 main 29 SMA aligned misaligned
c11 main 30 ACL phase-click-early10 aligned
c11 main 31 HSG phase-click-early10 misaligned
c11 main 32 HSG phase-click-late10 misaligned
c11 main 33 ACL aligned aligned
c11 main 34 HTH phase-click-late10 misaligned
c11 main 35 SMA aligned aligned
c11 main 36 HTH aligned aligned
c11 main 37 HTH phase-click-early10 misaligned
c11 main 38 HSG aligned aligned
c11 main 39 SMA phase-click-early10 aligned
c11 main 40 KPS aligned aligned
c12 train 1 NYN aligned aligned
c12 train 2 OCJ phase-click-early15 misaligned
c12 train 3 NYN phase-click-late15 misaligned
c12 train 4 OCJ aligned aligned
c12 main 1 HTH aligned aligned
c12 main 2 HTH phase-click-late10 misaligned
c12 main 3 ACL phase-click-early15 misaligned
c12 main 4 SMA aligned misaligned
c12 main 5 HTH aligned aligned
c12 main 6 KPS aligned aligned
c12 main 7 ACL aligned aligned
c12 main 8 SMA phase-click-early15 misaligned
c12 main 9 HSG aligned aligned
c12 main 10 HSG phase-click-early15 misaligned
c12 main 11 HSG aligned aligned
c12 main 12 KPS aligned aligned
c12 main 13 ACL phase-click-late15 misaligned
c12 main 14 SMA aligned misaligned
c12 main 15 SMA aligned misaligned
c12 main 16 HSG aligned aligned
c12 main 17 HTH aligned aligned
c12 main 18 ACL aligned aligned
c12 main 19 KPS aligned aligned
c12 main 20 SMA phase-click-early10 misaligned
c12 main 21 HTH phase-click-early15 misaligned
c12 main 22 HTH aligned misaligned
c12 main 23 KPS phase-click-early15 misaligned
c12 main 24 ACL phase-click-late10 misaligned
c12 main 25 SMA phase-click-late10 misaligned
c12 main 26 ACL aligned aligned
c12 main 27 HSG phase-click-late10 aligned
c12 main 28 KPS phase-click-late15 misaligned
c12 main 29 SMA phase-click-late15 misaligned
c12 main 30 HSG phase-click-late15 misaligned
c12 main 31 HTH phase-click-early10 misaligned
c12 main 32 HSG phase-click-early10 misaligned
c12 main 33 ACL phase-click-early10 misaligned
c12 main 34 ACL aligned aligned
c12 main 35 KPS phase-click-late10 misaligned
c12 main 36 HSG aligned aligned
c12 main 37 KPS aligned aligned
c12 main 38 HTH phase-click-late15 misaligned
c12 main 39 KPS phase-click-early10 misaligned
c12 main 40 SMA aligned aligned
c13 train 1 OCJ aligned aligned
c13 train 2 NYN phase-click-late15 misaligned
c13 train 3 NYN aligned aligned
c13 train 4 OCJ phase-click-early15 misaligned
c13 main 1 HTH phase-click-late15 misaligned
c13 main 2 SMA phase-click-early15 aligned
c13 main 3 HTH phase-click-early10 aligned
c13 main 4 KPS phase-click-early15 misaligned
c13 main 5 ACL phase-click-late10 aligned
c13 main 6 ACL aligned aligned
c13 main 7 HSG phase-click-late10 aligned
c13 main 8 KPS aligned aligned
c13 main 9 SMA phase-click-early10 aligned
c13 main 10 HSG aligned aligned
c13 main 11 KPS phase-click-late10 aligned
c13 main 12 ACL aligned aligned
c13 main 13 ACL phase-click-early15 misaligned
c13 main 14 HSG phase-click-late15 misaligned
c13 main 15 HTH aligned aligned
c13 main 16 HSG aligned aligned
c13 main 17 SMA aligned misaligned
c13 main 18 KPS aligned aligned
c13 main 19 HSG aligned aligned
c13 main 20 HTH phase-click-early15 misaligned
c13 main 21 HSG phase-click-early15 misaligned
c13 main 22 HTH aligned aligned
c13 main 23 HTH aligned aligned
c13 main 24 KPS phase-click-early10 misaligned
c13 main 25 ACL aligned aligned
c13 main 26 KPS phase-click-late15 misaligned
c13 main 27 KPS aligned aligned
c13 main 28 ACL phase-click-late15 misaligned
c13 main 29 HSG aligned aligned
c13 main 30 SMA phase-click-late15 misaligned
c13 main 31 KPS aligned aligned
c13 main 32 ACL aligned misaligned
c13 main 33 SMA aligned misaligned
c13 main 34 HTH phase-click-late10 misaligned
c13 main 35 SMA aligned misaligned
c13 main 36 HSG phase-click-early10 misaligned
c13 main 37 ACL phase-click-early10 aligned
c13 main 38 HTH aligned aligned
c13 main 39 SMA aligned misaligned
c13 main 40 SMA phase-click-late10 aligned
c14 train 1 NYN aligned aligned
c14 train 2 OCJ phase-click-early15 misaligned
c14 train 3 OCJ aligned aligned
c14 train 4 NYN phase-click-late15 misaligned
c14 main 1 HTH phase-click-early10 aligned
c14 main 2 SMA aligned misaligned
c14 main 3 HTH phase-click-late15 misaligned
c14 main 4 ACL aligned aligned
c14 main 5 KPS phase-click-early15 misaligned
c14 main 6 SMA phase-click-early15 aligned
c14 main 7 ACL phase-click-late15 misaligned
c14 main 8 HSG phase-click-early10 aligned
c14 main 9 HTH phase-click-late10 misaligned
c14 main 10 KPS phase-click-early10 aligned
c14 main 11 SMA phase-click-early10 aligned
c14 main 12 HSG aligned aligned
c14 main 13 HTH aligned aligned
c14 main 14 SMA aligned misaligned
c14 main 15 ACL phase-click-early15 misaligned
c14 main 16 KPS aligned aligned
c14 main 17 ACL aligned aligned
c14 main 18 ACL phase-click-late10 misaligned
c14 main 19 KPS phase-click-late15 misaligned
c14 main 20 HTH aligned misaligned
c14 main 21 KPS aligned aligned
c14 main 22 ACL aligned aligned
c14 main 23 SMA phase-click-late15 misaligned
c14 main 24 HSG aligned aligned
c14 main 25 SMA aligned aligned
c14 main 26 HSG phase-click-early15 misaligned
c14 main 27 ACL aligned aligned
c14 main 28 SMA phase-click-late10 misaligned
c14 main 29 HSG phase-click-late10 misaligned
c14 main 30 HSG aligned aligned
c14 main 31 KPS aligned aligned
c14 main 32 HSG aligned aligned
c14 main 33 KPS phase-click-late10 misaligned
c14 main 34 HSG phase-click-late15 misaligned
c14 main 35 SMA aligned misaligned
c14 main 36 HTH aligned aligned
c14 main 37 HTH aligned misaligned
c14 main 38 KPS aligned aligned
c14 main 39 HTH phase-click-early15 misaligned
c14 main 40 ACL phase-click-early10 misaligned
c15 train 1 OCJ phase-click-early15 misaligned
c15 train 2 NYN aligned aligned
c15 train 3 OCJ aligned aligned
c15 train 4 NYN phase-click-late15 misaligned
c15 main 1 KPS phase-click-late10 aligned
c15 main 2 HSG phase-click-early10 aligned
c15 main 3 HSG phase-click-late15 aligned
c15 main 4 KPS phase-click-early15 misaligned
c15 main 5 SMA aligned aligned
c15 main 6 ACL aligned aligned
c15 main 7 SMA phase-click-early15 misaligned
c15 main 8 ACL phase-click-early15 aligned
c15 main 9 KPS phase-click-early10 aligned
c15 main 10 HSG aligned aligned
c15 main 11 SMA phase-click-late15 misaligned
c15 main 12 SMA aligned aligned
c15 main 13 HTH phase-click-early10 aligned
c15 main 14 HTH phase-click-late15 misaligned
c15 main 15 HTH aligned aligned
c15 main 16 HSG phase-click-early15 misaligned
c15 main 17 ACL aligned aligned
c15 main 18 HSG aligned aligned
c15 main 19 HTH phase-click-late10 aligned
c15 main 20 SMA aligned aligned
c15 main 21 SMA phase-click-early10 aligned
c15 main 22 ACL phase-click-early10 aligned
c15 main 23 HTH aligned aligned
c15 main 24 KPS aligned aligned
c15 main 25 ACL aligned aligned
c15 main 26 HTH phase-click-early15 misaligned
c15 main 27 KPS aligned aligned
c15 main 28 HTH aligned aligned
c15 main 29 HSG aligned aligned
c15 main 30 ACL phase-click-late15 misaligned
c15 main 31 KPS aligned aligned
c15 main 32 HSG phase-click-late10 aligned
c15 main 33 KPS phase-click-late15 misaligned
c15 main 34 ACL aligned aligned
c15 main 35 ACL phase-click-late10 aligned
c15 main 36 SMA aligned aligned
c15 main 37 SMA phase-click-late10 aligned
c15 main 38 HSG aligned aligned
c15 main 39 KPS aligned aligned
